sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
399,2240001039953,登記記録の閉鎖等,0,2022-04-01,2022-03-31,本郷ホテル株式会社,,株式会社,広島県,三原市,本郷南６丁目２３番３５号,,34,204,7290417,,,2022-03-31,清算の結了等,,,2015-10-05,1,,,,,ホンゴウホテル,0
422,2310001005163,登記記録の閉鎖等,0,2022-04-01,2022-03-31,株式会社Ｅａｒｔｈ　Ｆｒｉｅｎｄｌｙ,,株式会社,長崎県,佐世保市,大塔町１７３０番地１５－１階,,42,202,8571161,,,2022-03-31,清算の結了等,,,2015-10-05,1,,,,,アースフレンドリー,0
489,3010901004764,登記記録の閉鎖等,0,2022-04-01,2022-03-31,株式会社サン・トウキョウ,,株式会社,東京都,世田谷区,世田谷４丁目２０番５－１０２号,,13,112,1540017,,,2022-03-31,清算の結了等,,,2015-10-05,1,,,,,,0
504,3011105007819,登記記録の閉鎖等,0,2022-04-01,2022-03-28,一般財団法人大学ＩＲ総研,,その他の設立登記法人,東京都,新宿区,西新宿２丁目１番１号新宿三井ビルディング,,13,104,1600023,,,2022-03-28,清算の結了等,,,2017-05-30,1,,,,,ダイガクアイアールソウケン,0
532,3020002015719,登記記録の閉鎖等,0,2022-04-01,2022-03-29,有限会社ユーエムワイ,,有限会社,神奈川県,横浜市青葉区,しらとり台４９番地２８,,14,117,2270054,,,2022-03-29,清算の結了等,,,2015-10-05,1,,,,,ユーエムワイ,0
539,3021002057321,登記記録の閉鎖等,0,2022-04-01,2022-03-29,有限会社柏柳工務店,,有限会社,神奈川県,平塚市,中原３丁目１２番１２号,,14,203,2540075,,,2022-03-29,清算の結了等,,,2015-10-05,1,,,,,カヤナギコウムテン,0
540,3030001068411,登記記録の閉鎖等,0,2022-04-01,2022-03-30,株式会社アクティライズ,,株式会社,埼玉県,吉川市,大字八子新田３６７番地３,,11,243,3420003,,,2022-03-30,清算の結了等,,,2015-10-05,1,,,,,アクティライズ,0
551,3040001010520,登記記録の閉鎖等,0,2022-04-01,2022-03-28,株式会社ディアラコ,,株式会社,千葉県,千葉市美浜区,打瀬２丁目１０番地,,12,106,2610013,,,2022-03-28,清算の結了等,,,2015-10-05,1,,,,,ディアラコ,0
560,3050002021160,登記記録の閉鎖等,0,2022-04-01,2022-03-29,有限会社菊地製作所,,有限会社,茨城県,つくば市,春日４丁目２３番地２３,,08,220,3050821,,,2022-03-29,清算の結了等,,,2015-10-05,1,,,,,キクチセイサクジョ,0
576,3080105004365,登記記録の閉鎖等,0,2022-04-01,2022-03-30,北湯ケ野生産森林組合,,その他の設立登記法人,静岡県,下田市,北湯ケ野３３２番地,,22,219,4130714,,,2022-03-30,清算の結了等,,,2015-10-05,1,,,,,キタユガノ,0
